Date,News_items
2017-01-19 00:00:00,"['India-made Suzuki Gixxer exported to Japan for the first time - RushLane', 'China is still far ahead of India when it comes to Startups - Business Insider India', 'KTM RC200 and RC390 launched in India at Rs 1.71 lakh and Rs 2.25 lakh - The Financial Express', 'Best driving routes: Nagpur to Pench National Park - Overdrive', 'Ashok Leyland Partner LCV and Guru launched in India - Overdrive']"
2017-01-20 00:00:00,"['Motherson Sumi Systems to acquire Finnish Tier 1 wiring harness supplier PKC Group - Autocar Professional', 'Maruti Vitara Brezza, TVS Apache RTR 200 win big at Autocar India Awards 2017 - Autocar India', 'Bajaj launches Pulsar RS 200 with new body colours - The Financial Express', '2017 Tata Hexa launched in India at Rs 11.99 lakh - Overdrive', 'Maruti Suzuki Ignis Review: Unconventional, funky but should you buy it? - The Financial Express']"
2017-01-21 00:00:00,"['Maruti Vitara Brezza, TVS Apache RTR 200 the big winners at Autocar India Awards 2017 - Autocar Professional', 'Fort McMurray hotel items auctioned off amid economic uncertainty - CBC.ca', 'Image gallery: Maruti Suzuki Ignis first drive - Overdrive', 'New Toyota Fortuner bookings cross 10,000 - Autocar India', 'Audi Confirms World Rallycross Return for 2017 Season - Digital Trends']"
2017-01-22 00:00:00,"['South Korean Elementary School Shifts its Floorplan Depending on ... - Digital Trends', 'Kurio Kids Smartwatch Review: A Smartwatch Made Just for Kids - Digital Trends', 'Prueba Triumph Street Cup 2017: la Bonneville se viste de carreras - SoyMotero.net']"
2017-01-23 00:00:00,"['Nirmala College wins TNIE Goal inter-collegiate football championship - The New Indian Express', 'Looking forward to a new Chevrolet model? Think Again! - The Financial Express', 'Alia Bhatt scores 10 mn Twitter followers - The Financial Express', ""Co-founder Keanu Reeves' Arch Motorcycles Builds Performance ... - Digital Trends"", 'Como usar o app Termômetro++ para descobrir a temperatura do local - TechTudo']"
2017-01-24 00:00:00,"['The Five top events associated with the Indian Automobile Industry in 2016 - The Financial Express', 'Yamaha FZ 25 launched in India at Rs 1.19 lakh (Ex-Delhi) - ETAuto', 'India-bound 2017 Yamaha R15 Version 3.0 unveiled in Indonesia - Overdrive', 'Asian Paints’ Ultima Protek: Ranbir Kapoor, Raag Malhar to the rescue - The Financial Express', '2017 Ford F-250 First Drive - Consumer Reports']"
2017-01-25 00:00:00,"['TVS Motor Company Reports 10.4 Percent Profit in Q3 of FY 2016-17 - News18', 'Yamaha India launches hot FZ25 at Rs 119,500, squarely targets Bajaj, TVS bikes - Autocar Professional', 'Yamaha enters the 250cc segment with the FZ25 at Rs 1.19 lakh - The Financial Express', 'All-New Yamaha FZ25 Performance Bike Launched at Rs 1.19 Lakh - The Quint', 'Jet Airways appoints M Shivakumar as financial controller - Business Standard']"
2017-01-26 00:00:00,"['TVS Victor long term review: After 2,327 km and eight months - Overdrive', 'Spec comparo: Yamaha FZ25 vs KTM 200 Duke vs TVS Apache RTR 200 4v vs Bajaj Dominar 400 vs Bajaj 200 NS - Overdrive', ""Mercedes-Benz A-Class and B-Class 'Night Edition' launched in India - Overdrive"", ""Ford's Curious Approach to Trade Policy and Customer Relations - Cato Institute"", 'BMW M boss talks tech, motor sports, manual transmissions - Digital Trends']"
2017-01-27 00:00:00,"[""Lexus 2017 hybrid range review: We drive Lexus' innovative dual ... - Alphr"", ""Trudeau's comments in Saskatoon 'disrespectful,' says chief - CBC.ca"", 'Sony FE 50mm F2.8 Macro Review - PCMag', 'Prime minister meets with RCMP cadets in Regina, visits university - CBC.ca', ""Switch 'HD Rumble' Won't Have Effect on 'Zelda: Breath of the Wild' - Digital Trends""]"
2017-01-28 00:00:00,"['BMW G 310 R India launch: Here is what to expect - IBTimes India', ""Hero Xtreme 200S is likely Hero Motocorp's next high capacity motorcycle - indianautosblog.com"", 'Challenges and opportunities for Indian start-ups; Key points to note - The Financial Express', 'Is Delhi-Agra-Lucknow Expressway safe enough? We find out in a Toyota Innova Crysta 2.8 - The Financial Express', '2017 Yamaha FZ25: A closer look - Autocar India']"
