,Date,Begining_Total_Amt,Begining_Cash_Amt,Begining_Long_Value,Begining_Short_Value,Begining_Margin,Long_Value_at_Open,Short_Value_at_Open,Margin_at_Open,Cash_at_Open,Long_Value_after_Close_Out,Short_Value_after_Close_Out,Margin_after_Close_Out,Cash_after_Close_Out,Long_Value_after_fill,Short_Value_after_fill,Margin_after_fill,Cash_after_fill,Long_Value_at_Close,Short_Value_at_Close,Margin_at_Close,Price_Adjustment,Ending_Cash_Amt,Ending_Total_Amt,P&L,Return
0,2019-01-02 00:00:00,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,100000,0,0
1,2019-01-03 00:00:00,100000,100000,0,0,0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,73627.12286758423,82631.29993057251,16526.259986114503,8596.549763916015,72830.72629356384,81567.26008033752,16313.452016067506,0.0,8809.357733963012,99017.57589382934,-982.4241061706562,-0.009824241061706561
2,2019-01-04 00:00:00,99017.57589382934,8809.357733963012,72830.72629356384,81567.26008033752,16313.452016067506,73745.54940986633,82456.49961090088,16491.299922180177,8631.509827850341,73745.54940986633,82456.49961090088,16491.299922180177,8631.509827850341,73745.54940986633,82456.49961090088,16491.299922180177,8631.509827850341,74715.60356330872,83493.84093666077,16698.768187332153,0.0,8424.041562698365,98975.87230725097,-41.70358657836914,-0.0004211735765283268
3,2019-01-07 00:00:00,98975.87230725097,8424.041562698365,74715.60356330872,83493.84093666077,16698.768187332153,74738.44424247742,83608.03046417236,16721.606092834474,8401.203657196043,74738.44424247742,83608.03046417236,16721.606092834474,8401.203657196043,74738.44424247742,83608.03046417236,16721.606092834474,8401.203657196043,75028.74994277954,84027.41888046265,16805.48377609253,0.0,8317.325973937988,98755.44074291992,-220.4315643310547,-0.0022271242393981493
4,2019-01-08 00:00:00,98755.44074291992,8317.325973937988,75028.74994277954,84027.41888046265,16805.48377609253,75609.33954429626,85242.04013633728,17048.40802726746,8074.401722763059,75609.33954429626,85242.04013633728,17048.40802726746,8074.401722763059,75609.33954429626,85242.04013633728,17048.40802726746,8074.401722763059,75744.36962127686,85989.08042526245,17197.81608505249,0.0,7924.993664978027,97509.39887661743,-1246.0418663024902,-0.012617450308851188
5,2019-01-09 00:00:00,97509.39887661743,7924.993664978027,75744.36962127686,85989.08042526245,17197.81608505249,75926.13578796387,86161.08984375,17232.21796875,7890.591781280518,75926.13578796387,86161.08984375,17232.21796875,7890.591781280518,75926.13578796387,86161.08984375,17232.21796875,7890.591781280518,76423.26010322571,86096.52048110962,17219.304096221924,0.0,7903.505653808594,98080.84930271911,571.4504261016846,0.005860465069882789
6,2019-01-10 00:00:00,98080.84930271911,7903.505653808594,76423.26010322571,86096.52048110962,17219.304096221924,76094.4971446991,85992.85074806213,17198.570149612427,7924.23960041809,67310.63726615906,80433.19052314758,16086.638104629517,8457.383933792113,73547.63726615906,87650.99040794373,17530.198081588747,8692.865497024535,74592.90368461609,88693.62017822266,17738.724035644533,0.0,8484.33954296875,96707.92706394958,-1372.9222387695336,-0.013997862462753693
7,2019-01-11 00:00:00,96707.92706394958,8484.33954296875,74592.90368461609,88693.62017822266,17738.724035644533,74337.84314727783,88383.80899620056,17676.761799240114,8546.301779373169,74337.84314727783,88383.80899620056,17676.761799240114,8546.301779373169,74337.84314727783,88383.80899620056,17676.761799240114,8546.301779373169,74790.98075675964,88789.94196128845,17757.988392257692,0.0,8465.07518635559,96809.68235302734,101.75528907775879,0.001052191812678102
8,2019-01-14 00:00:00,96809.68235302734,8465.07518635559,74790.98075675964,88789.94196128845,17757.988392257692,74390.07347297668,88344.15949249268,17668.831898498534,8554.231680114748,74390.07347297668,88344.15949249268,17668.831898498534,8554.231680114748,74390.07347297668,88344.15949249268,17668.831898498534,8554.231680114748,74448.3366355896,88322.09051895142,17664.418103790285,0.0,8558.645474822997,96934.88967419435,125.20732116700674,0.0012933346967344056
9,2019-01-15 00:00:00,96934.88967419435,8558.645474822997,74448.3366355896,88322.09051895142,17664.418103790285,74704.02648162842,88516.33955383301,17703.2679107666,8519.795667846682,74704.02648162842,88516.33955383301,17703.2679107666,8519.795667846682,74704.02648162842,88516.33955383301,17703.2679107666,8519.795667846682,74912.18964767456,88777.89877128601,17755.579754257204,0.0,8467.483824356079,96942.9344339447,8.044759750351659,8.299137469894192e-05
