,index,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq,Mean_Eq,Theta,Theta p-value,OU R-sq,Var_Eq
0,88,A,BLK,0.038994435872117,1.0101679382067767,145.1240874740293,0.0,0.9653923737844108,0.0034413398370009,-0.0177528683708496,0.0006409165560465,0.3194992639069266,-0.07468174511732832,9.340907043956811,0.0,0.9290327272156468,0.009591201706407627
1,146,A,COR,-1.1562199701482734,2.027834605864262,79.2630918669829,0.0,0.8927196839738756,0.0036964241573688,-0.0114701710582356,0.0288407891090756,0.1459872793271009,-1.1654491581729682,10.93477638490728,0.0,0.9162439382388711,0.027647033900609744
2,152,A,CRH,-0.559967237068413,1.387553725090826,77.45127504601251,0.0,0.8882094260478011,0.01294557476696,-0.0120566505155432,0.0146980623258222,0.2031331978526098,-0.5671869134555616,6.540113040030249,0.0,0.9506773703762188,0.027864390397107485
3,223,A,ETN,0.053724953573342,1.0088834304978878,133.87698181863516,0.0,0.9595782134033034,0.0079148925666002,-0.012259678384425,0.0074217754510777,0.2838736366256832,-0.09263122339924414,8.59690067182828,0.0,0.931092203411492,0.011748812100614058
4,229,A,EXPD,-0.4184084479908398,1.4809616678648148,104.39420354171769,0.0,0.9352106497134546,0.0250145097998501,-0.0173027437068312,0.0073205129333653,0.2133126937994746,-0.4232148467103378,6.738619873510164,0.0,0.9462148844324035,0.01712298598392709
5,324,A,ISRG,-0.2426489230478543,1.2483702443426454,146.39047507328894,0.0,0.9659682590023908,0.0006206292010837,-0.0209040292912686,0.0089232840152426,0.3735086993365821,-0.2467846419776067,12.39766582798324,0.0,0.9026044558515027,0.009053801430561986
6,330,A,JBHT,-0.3143181164938212,1.3404155200552033,84.61812724259127,0.0,0.9046142383144304,0.0457629627077873,-0.0150024816491009,0.0062560151210236,0.161951275722423,-0.3251382818620096,5.928963782604344,0.0,0.9515316232744301,0.02574447200513741
7,336,A,JNJ,-2.532805730413829,3.40751468213342,70.28881731686282,0.0,0.8674396216049651,0.0071729518380073,-0.0088765375493281,0.0492231057074624,0.2151148050811774,-2.5350287084321215,8.29258533381325,0.0,0.9366826483908401,0.03370949644073312
8,340,A,KDP,-2.000288291136332,2.898565029026977,65.75566669839043,9.944353934e-315,0.8513430623566454,0.0030412427306291,-0.0091173099444224,0.0470449479916243,0.0912959181733252,-2.0047674373107047,9.543856457118405,0.0,0.9273664365973472,0.03787434340789661
9,352,A,KR,-0.5581860598382157,1.7686482293574568,60.2536260436482,1.1654901352551827e-290,0.8278417296899591,0.0164782898264512,-0.0099680021569472,0.0245105288134364,0.0144166942069405,-0.5521691598846075,6.984702788178075,0.0,0.9471123461282365,0.04316148786393936
10,358,A,LECO,-0.494479366052416,1.54606607720027,106.3988080914254,0.0,0.9374777775074038,0.0071098265508867,-0.0171110653704792,0.0074832342236277,0.2546304408061669,-0.4904854826267157,8.35491596515923,0.0,0.93586602757268,0.015994216699790374
11,365,A,LLY,0.0819912772135957,1.0339539516889884,85.74241376935188,0.0,0.9068678660114796,0.0449726429979589,-0.0132683553054936,0.0203250139758555,0.1118346023911184,0.07560461846608128,5.915216114272561,0.0,0.9519625485587114,0.02495155945096839
12,394,A,META,-0.2142316190882906,1.0048271288122343,93.04318065761844,0.0,0.919783540649715,0.0062033723657944,-0.0156846201940406,0.0083829927007234,0.1755959251933426,-0.214702522616497,8.538754775152714,0.0,0.9346037159811476,0.020435407017600042
13,434,A,NKE,-0.1972030341646893,1.1462458828071298,103.85883897279112,0.0,0.9345847908775448,0.0105732400993486,-0.0198216496179719,0.002155011305975,0.2032071083162335,-0.19829478763419725,7.760666477714652,0.0,0.940405868432956,0.016701634045748016
14,489,A,PNR,-0.0554712634544475,1.212822471361385,118.5013083647069,0.0,0.9489780750538168,0.0045709146989088,-0.0177467544934925,0.0132053016239841,0.2397501887148516,-0.04660228122828924,8.735378140731505,0.0,0.9348551403169028,0.01267038601179462
15,521,A,ROK,-0.2227822993407324,1.1850040566708595,110.92394775527914,0.0,0.9421860068947358,0.0134223139230731,-0.0209828322832897,0.0014935602575115,0.2658596830992841,-0.23273147474428985,7.853138130862042,0.0,0.9363616994087931,0.01558387693053679
16,613,A,TROW,-0.0475238319403455,1.0130768093911826,133.8096576768382,0.0,0.9595391742115874,0.0045828651697703,-0.0185989378122218,0.0153574008219752,0.3094336216662326,-0.04379375382039647,9.301972456237001,0.0,0.9265869234286436,0.010682145107078402
17,633,A,UBS,-0.6148115163191016,1.9112158549978813,73.8115129787773,0.0,0.8782874371432827,0.024343602749405,-0.0095004321550419,0.0473856499916768,0.1847840242631705,-0.5998261978965725,6.034640760762678,0.0,0.9567743284267897,0.028689175656312293
18,645,A,UTHR,0.1567026231612056,1.186583800392781,80.04124706119205,0.0,0.894576649043206,0.0172329306562942,-0.0136224531420693,0.0114993527480791,0.1059291892607452,0.17223662254049285,6.24172793657841,0.0,0.9570513611607516,0.023841498375984854
19,691,A,XPO,-0.0540571383956597,1.057125654423701,81.96250219404081,0.0,0.8989676199059132,0.036756892025601,-0.0114215180044996,0.0036600525396972,0.1980601399397459,-0.12627830682305624,6.042686299405372,0.0,0.9523893655771568,0.040114817598577934
20,824,ABBV,CHT,-1.5223873935583054,2.3588631035416503,84.56268730402147,0.0,0.904501074145282,0.0004638014255458,-0.0350954777412789,5.67718229876341e-05,0.0914773763158316,-1.5238308324861383,11.908809727156582,0.0,0.9124281276852522,0.005671402170833162
