,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq
1677,ABT,ROK,-0.1796436637248507,1.1786005718289845,152.93499112289828,0.0,0.9029111653162732,0.0195653936102871,-0.005552074569847392,0.0041197938979441445,0.12885616275812672
1681,ABT,RPM,-0.6830493038048774,1.2671385559592978,170.75733931052693,0.0,0.92059500120798,0.017020491463505,-0.004982135406247323,0.015900323800614975,0.18897653678752435
1682,ABT,RS,-0.6399225669342551,1.7006788219506457,137.88945640021825,0.0,0.8831781245982412,0.0060882852683947,-0.002001946815355592,0.27234155784159764,0.07205470599903818
1703,ABT,SLF,-1.5617605165998971,1.7568365361646971,113.87821176788395,0.0,0.8375663721410069,0.0386082979116843,-0.001310582682871624,0.3798781956027196,0.13463310573399612
1711,ABT,SO,-2.241776446937654,3.3543477704177564,135.91364773502033,0.0,0.8801668780750023,0.0112659167034514,-0.0013155586234762978,0.44351803830329417,0.15670697635446407
1747,ABT,TJX,-0.7686542826679124,1.1970256402092525,159.59731755878576,0.0,0.9101346136848614,0.0019122777644104,-0.0022660603806091916,0.2697888642904604,0.09729595124508883
1755,ABT,TRI,0.018641678017941,1.1027007175570906,191.3637937914852,0.0,0.9357354421266272,0.0315967430985989,-0.0059312584587202215,0.010797182579351446,0.16698307183078143
1757,ABT,TROW,-0.1670444417438042,1.3247115030967156,161.75410114727916,0.0,0.912306361229242,0.0436693027612495,-0.003325926430550623,0.08759281966464043,0.20461731793231952
1768,ABT,TU,-3.247181334944573,3.605191415014677,143.02104317054142,0.0,0.8905094495987174,0.0044043225880516,-0.0037220342058258454,0.043691735293043744,0.10919215902629509
1779,ABT,UNP,-0.3298083184975863,1.0985390827166992,234.9808302042564,0.0,0.9564358765465062,8.524402132101769e-05,-0.011566348922241556,5.9732552802472726e-05,0.13645516300413985
1790,ABT,VRSK,-0.2088401852002702,1.057095433238247,267.3403504279467,0.0,0.9660070194609488,0.0004116934517744,-0.011317679536917275,0.00019790029072004085,0.24916249487766673
1810,ABT,WMT,-1.2216688272832728,2.165103884832549,232.47391664834296,0.0,0.955533255918004,0.0024656790743619,-0.00932957281737077,0.0011321082917979358,0.13116771223734325
1814,ABT,WRB,-0.4822685041103395,1.3421650328410994,153.97431198864484,0.0,0.9040921523871944,0.04861968555962,-0.0021756824023198957,0.25654284833198193,0.15752930348029748
1818,ABT,WTW,-1.252532132441441,2.331076331883728,198.302683003666,0.0,0.9398885546994502,0.0012438896859092,-0.003432525251609089,0.1573560881426687,0.1583689697642232
1824,ABT,YUM,-0.8330575431553031,1.706847536984667,150.5191015394,0.0,0.9000834290583929,0.0218002037808198,-0.002849699770364705,0.13842936509990883,0.11621043488171379
1840,ACGL,AFL,0.1151257090495305,1.0380461824045668,136.82390457159542,0.0,0.8815678115950654,0.0382906926706937,-0.00819452641626139,0.00040259765365151533,0.4206948751044103
1868,ACGL,AVB,-0.5023836404885852,1.6993884485392243,128.37595333512715,0.0,0.8675994222943556,0.0250104661176778,-0.006327846347261664,0.007486799217372595,0.3249110064127665
